x1;y1;x2;y2
10;1341;10;1302
1704;2389;1859;2389
2354;137;2387;137
1306;1038;1352;1029
1103;315;1152;364
128;1872;128;1841
1094;132;1134;132
1809;308;1833;273
1329;1157;1336;1193
1874;119;1901;82
2054;56;2096;7
2154;1662;2154;1635
872;2150;896;2110
2303;26;2328;15
1948;1284;1981;1334
1945;2127;1988;2127
1543;914;1569;914
511;1884;511;1853
10;235;10;333
691;314;725;337
1900;1897;1952;1949
1059;528;1099;552
1367;1358;1445;1460
501;122;547;121
839;197;880;231
1702;122;1743;163
582;1882;628;1836
130;1181;177;1159
1798;2301;1830;2308
1865;2354;1893;2354
1572;1667;1602;1688
2024;106;2024;80
1624;600;1638;556
802;1665;826;1633
1148;1603;1162;1577
1865;306;1865;271
1335;845;1335;880
2365;1051;2381;1094
177;1841;205;1826
492;1979;492;1949
2062;218;2094;210
1656;343;1681;343
2119;1534;2121;1559
301;1580;359;1589
2009;2040;2049;2080
499;2338;532;2338
2235;882;2261;892
2036;906;2063;906
61;947;90;976
1871;2389;1926;2389
1617;1762;1653;1797
1828;667;1871;623
1893;1091;1925;1165
2171;134;2171;107
2012;1361;2052;1417
356;137;392;160
1745;919;1786;919
1382;1718;1401;1745
829;1613;856;1613
856;1743;880;1768
64;1449;66;1475
869;159;919;209
1062;185;1066;212
1693;88;1694;113
1417;1622;1449;1615
1936;2312;1968;2327
130;1569;131;1531
1664;2218;1667;2181
1838;802;1845;773
1520;916;1538;888
2207;1873;2235;1883
2047;382;2077;373
1844;924;1844;896
125;1781;125;1755
1947;202;1972;203
1318;2175;1331;2132
351;1092;376;1101
2181;1260;2213;1260
2282;20;2320;1
2175;164;2189;137
2086;288;2111;279
1810;326;1844;282
1980;2111;2010;2125
145;957;173;978
615;480;645;480
1115;2160;1142;2167
1596;835;1623;796
803;893;834;923
1720;759;1740;733
1493;775;1530;812
1904;1188;1904;1153
1750;764;1777;776
1267;420;1303;420
2183;1316;2208;1316
50;870;72;903
626;566;651;566
12;7;41;36
1662;406;1667;437
1274;427;1310;416
1720;1112;1734;1086
1351;894;1392;853
1538;1953;1578;1966
1531;529;1541;502
262;1946;294;1951
1348;1315;1364;1357
1419;2268;1419;2232
66;929;97;960
161;1267;174;1240
2072;1224;2109;1249
1423;662;1426;728
761;2122;779;2095
1827;669;1871;624
561;2389;583;2360
430;394;471;441
1514;1896;1539;1908
1109;1674;1136;1637
2104;558;2123;533
967;678;1005;686
2143;1637;2157;1687
1518;979;1565;944
1266;366;1298;366
553;662;579;681
821;170;854;170
10;334;10;436
74;1932;100;1925
10;2209;10;2149
1405;1758;1435;1759
1314;2183;1327;2140
1453;1634;1542;1709
256;1933;257;1908
100;1946;148;1914
1152;587;1187;587
1078;2202;1089;2175
557;1980;583;1952
862;164;878;134
1901;810;1909;768
2297;1876;2297;1829
1188;303;1228;344
2086;1256;2125;1269
1328;2276;1356;2276
564;1260;596;1253
718;677;727;710
1964;1195;2020;1235
831;1661;872;1661
231;1058;277;1027
