x1;y1;x2;y2
-67.40629684;1365.36;34.8;1349.4
0.325531796;1349.4;155.4;1334.16
155.4;1334.16;317.4;1344.96
317.4;1344.96;473.52;1360.92
473.52;1360.92;602.52;1390.68
-18.84000001;1406.76;18.59999998;1415.64
18.59999998;1415.64;57.96;1431.48
57.96;1431.48;101.16;1440.96
101.16;1440.96;143.04;1453.68
143.04;1453.68;174.84;1460.76
174.84;1460.76;187.2;1463.04
187.2;1463.04;207.6;1463.64
207.6;1463.64;241.2;1478.28
270.36;1488.48;282.48;1493.88
282.48;1493.88;303.72;1505.64
303.72;1505.64;328.8;1516.44
328.8;1516.44;362.52;1541.16
362.52;1541.16;382.8;1551.24
382.8;1551.24;409.08;1565.88
409.08;1565.88;425.64;1569.12
425.64;1569.12;451.08;1586.28
14.04000001;972.72;34.56000002;978.84
34.56000002;978.84;50.88000001;977.88
50.88000001;977.88;69.83999999;975.36
69.83999999;975.36;92.4;972.12
34.08;979.92;40.79999998;989.04
40.79999998;989.04;55.32000002;997.32
33.84000001;987.96;46.19999997;1005.72
-5.880000014;891.84;11.51999999;891.48
11.51999999;891.48;28.08000002;896.28
-3.719999995;904.44;13.80000003;908.64
46.80000002;870.48;56.28;888.96
56.28;888.96;69.60000001;905.16
69.60000001;905.16;89.04000001;920.4
89.04000001;920.4;106.44;933.12
117.24;934.08;148.68;952.8
148.68;952.8;170.64;964.92
170.64;964.92;200.76;975.12
95.63999997;940.68;118.92;933.12
118.92;933.12;134.76;931.8
113.52;964.56;138.96;971.64
138.96;971.64;146.28;981.12
146.28;981.12;163.8;999.24
209.76;989.76;193.92;993.6
193.92;993.6;166.92;998.64
166.92;998.64;156.48;998.64
156.48;998.64;147.24;999.6
146.76;1001.28;146.28;978.6
146.28;978.6;145.8;956.76
172.56;1022.52;174.48;1039.92
174.48;1039.92;177.96;1049.52
177.96;1049.52;183.96;1071.72
183.96;1071.72;186.48;1081.2
178.32;1054.08;170.16;1069.92
196.32;1005.12;192.48;1029
202.32;969.24;207.12;984.48
207.12;984.48;215.04;1000.44
235.44;1015.32;266.76;1029.24
272.52;1035.96;301.44;1046.16
301.44;1046.16;334.44;1058.52
334.44;1058.52;357;1067.04
357;1067.04;377.28;1080.12
389.64;1079.16;377.28;1080.12
377.28;1080.12;366.24;1079.76
366.24;1079.76;351.6;1075.68
351.6;1075.68;320.76;1068.96
273.84;1016.52;298.92;1030.56
298.92;1030.56;325.56;1044.84
228.12;972.12;210.6;991.44
-10.32000002;890.52;44.27999999;868.32
44.27999999;868.32;83.52;856.44
83.52;856.44;109.92;855.36
65.16000001;875.52;86.40000002;870.72
86.40000002;870.72;112.68;867.84
-6.960000023;714.6;-2.760000005;735.12
-2.760000005;735.12;-6.240000017;755.16
-6.240000017;755.16;-6.240000017;767.88
-21.48;668.28;10.79999998;710.28
-5.160000008;842.52;4.079999998;831
4.079999998;831;8.52;820.92
8.52;820.92;23.75999998;811.68
15.36;539.88;48.95999998;552
48.95999998;552;68.75999998;552.96
68.75999998;552.96;97.92000001;549.72
97.92000001;549.72;112.8;553.2
112.8;553.2;130.92;568.08
130.92;568.08;144.36;578.28
144.36;578.28;155.76;582.36
155.76;582.36;169.68;583.08
169.68;583.08;183.36;585.96
183.36;585.96;194.4;588.48
194.4;588.48;208.44;586.56
208.44;586.56;225.84;584.04
183.36;585.96;173.16;591
173.16;591;161.16;595.08
161.16;595.08;145.92;597.96
145.92;597.96;131.28;606.48
107.52;582.72;137.28;572.88
155.76;582.36;140.76;585.24
140.76;585.24;129.72;590.64
144.36;578.28;132.24;583.08
132.24;583.08;114.48;589.08
114.48;589.08;107.52;595.44
51.24000002;566.88;65.88000001;567.48
65.88000001;567.48;88.44000002;572.28
88.44000002;572.28;100.44;578.64
70.32000002;579.6;83.28000002;580.2
59.27999999;567.24;76.08000001;575.4
76.08000001;575.4;95.03999999;582.72
45.48000002;563.28;51.24000002;566.88
51.24000002;566.88;70.32000002;579.6
70.32000002;579.6;98.88;597
98.88;597;113.76;612.6
113.76;612.6;148.44;647.16
148.44;647.16;184.56;688.44
184.56;688.44;214.44;731.28
157.92;630.96;208.44;656.76
201.96;601.68;221.64;592.44
344.52;138.96;335.64;180.24
335.64;180.24;330.96;214.92
330.96;214.92;325.2;237.96
325.2;237.96;315.96;261.36
315.96;261.36;311.16;281.4
311.16;281.4;305.16;307.8
305.16;307.8;299.16;339.48
299.16;339.48;292.2;384.24
292.2;384.24;287.76;416.4
287.76;416.4;284.52;450
284.52;450;283.92;488.4
283.92;488.4;283.92;522.72
283.92;522.72;282.24;554.76
282.24;554.76;279.48;584.88
279.48;584.88;277.56;597.36
197.88;433.8;208.32;453.84
208.32;453.84;213.72;468.12
213.72;468.12;220.08;479.52
220.08;479.52;226.44;498.24
226.44;498.24;240.36;510
240.36;510;252.12;521.16
252.12;521.16;262.32;535.08
262.32;535.08;273.12;548.76
273.12;548.76;281.76;560.64
183.84;284.04;204.24;303.36
204.24;303.36;218.16;317.04
218.16;317.04;228.24;327.72
228.24;327.72;235.32;339.6
235.32;339.6;249;361.92
249;361.92;260.4;379.08
260.4;379.08;271.8;392.64
271.8;392.64;288.96;406.92
228.24;327.72;246.12;335.52
246.12;335.52;263.52;344.76
263.52;344.76;280.44;348.84
280.44;348.84;297.24;351.36
294.36;268.56;308.64;292.56
315.96;261.36;316.56;246.36
316.56;246.36;319.2;220.2
319.2;220.2;326.16;190.68
326.16;190.68;332.76;165
332.76;165;335.04;157.32
306.96;245.88;316.56;246.36
322.56;244.68;336.6;248.76
336.6;248.76;348.36;250.32
348.36;250.32;365.76;255.36
365.76;255.36;393.72;257.52
156;606.48;171.6;600.12
171.6;600.12;192.24;593.88
192.24;593.88;208.44;586.56
155.16;596.28;171.6;600.12
242.64;589.32;249;568.44
249;568.44;259.44;549
299.4;527.16;293.4;546.24
293.4;546.24;290.52;571.32
290.52;571.32;292.2;594.12
370.2;562.68;361.08;571.56
361.08;571.56;338.52;577.56
338.52;577.56;319.44;585.24
319.44;585.24;308.04;591.6
308.04;591.6;292.2;594.12
292.2;594.12;287.04;602.04
287.04;602.04;278.16;615.12
278.16;615.12;275.64;632.52
275.64;632.52;270.84;646.8
254.88;297.48;267;310.92
272.76;304.92;290.88;323.64
300.36;332.64;331.56;354.72
432.12;424.8;439.8;442.56
439.8;442.56;456.96;467.64
456.96;467.64;470.64;468.6
449.64;433.32;463.56;460.68
468.96;460.68;470.64;468.6
470.64;468.6;482.28;489.48
526.56;329.64;522.72;353.76
522.72;353.76;514.56;379.2
514.56;379.2;504;408.36
292.2;256.2;304.2;255
304.2;255;316.2;256.68
354.36;278.52;363;277.56
365.52;282.36;378.48;283.56
324.84;263.28;336.6;263.64
449.64;250.8;464.04;250.8
516.96;233.4;529.44;234
455.4;209.52;466.56;213
388.8;147.72;416.4;155.88
416.4;155.88;445.56;168
445.56;168;463.08;176.28
451.92;171;447.48;187.08
406.56;130.2;417.36;135
436.08;126.72;432.6;148.56
505.92;162.6;539.28;196.92
539.28;196.92;547.44;207.36
567.24;176.88;570;188.04
570;188.04;569.04;201.36
538.32;208.92;547.44;207.36
547.44;207.36;569.04;201.36
569.04;201.36;606.24;201
598.32;247.08;628.08;255.96
628.08;255.96;650.4;261.96
650.4;261.96;663.36;267.72
663.36;267.72;668.76;276.84
668.76;276.84;672.24;281.04
672.24;281.04;684.6;288.6
684.6;288.6;705.24;300.36
744.96;214.32;726.24;254.64
726.24;254.64;716.4;276.6
716.4;276.6;709.08;291.48
709.08;291.48;705.24;300.36
714.84;314.04;739.32;306.36
657.72;92.76;684.6;132.72
348.6;613.2;384.24;600.6
437.88;511.44;450;489.24
450;489.24;470.64;468.6
417.84;626.52;429.24;600.6
429.24;600.6;445.8;581.52
445.8;581.52;461.04;555.48
461.04;555.48;482.64;514.2
338.76;691.68;352.08;690.36
352.08;690.36;398.52;672
398.52;672;448.92;647.88
274.32;775.2;297.24;746.64
297.24;746.64;323.88;714.24
323.88;714.24;339.72;700.2
546;400.56;559.92;405.24
566.76;-14.4;588.48;15.96
588.48;15.96;613.56;56.52
518.64;201.96;554.52;225.48
554.52;225.48;574.44;236.88
575.4;244.2;604.32;264.48
604.32;264.48;630.96;283.8
630.96;283.8;670.08;313.44
670.08;313.44;677.64;317.88
689.04;315.96;776.76;372.12
776.76;372.12;812.64;401.64
812.64;401.64;862.44;442.32
877.32;438.48;939;467.04
920.28;383.4;964.08;402.48
964.08;402.48;995.16;423.72
704.4;-28.2;727.2;-2.52
727.2;-2.52;738.6;8.52
738.6;8.52;758.64;41.28
758.64;41.28;782.16;62.28
784.32;58.08;817.68;80.64
742.44;-18.12;756.72;-0.96
756.72;-0.96;769.44;14.88
769.44;14.88;776.04;33.36
797.04;-27.6;783.12;2.52
472.8;355.8;468;361.2
299.4;527.16;338.16;520.8
338.16;520.8;371.88;520.2
731.64;343.2;750.36;339.48
750.36;339.48;774.48;340.44
807.84;366.6;836.76;364.08
899.16;237.6;912.12;254.16
912.12;254.16;919.08;268.44
919.08;268.44;928.32;277.92
928.32;277.92;932.16;288.48
932.16;288.48;940.08;299.52
940.08;299.52;946.08;310.08
946.08;310.08;955.92;328.8
955.92;328.8;963;342.72
963;342.72;972.48;357
999.96;379.92;980.88;372.96
952.92;304.68;939.12;300.48
939.12;300.48;919.56;292.92
919.56;292.92;880.56;274.2
880.56;274.2;846.24;256.8
846.24;256.8;818.28;237.72
818.28;237.72;798.6;222.72
824.04;228.6;837.72;234.6
849.96;279.12;862.32;288
851.64;295.92;864.36;301.32
863.4;222.96;852;244.2
628.8;120.96;659.28;137.16
1427.64;-29.64;1428.6;7.2
1428.6;7.2;1421.88;23.76
1421.88;23.76;1419.36;36.12
1419.36;36.12;1412.4;59.88
1094.88;22.44;1107.24;17.04
1107.24;17.04;1119;15.48
1119;15.48;1129.2;12.24
1129.2;12.24;1135.8;12.24
1135.8;12.24;1146.96;9.12
1146.96;9.12;1164.36;4.92
1164.36;4.92;1182.84;1.2
1182.84;1.2;1194.6;1.2
1194.6;1.2;1211.04;-1.44
1211.04;-1.44;1223.76;0.48
1223.76;0.48;1237.08;3.72
1237.08;3.72;1250.76;6.84
1250.76;6.84;1274.28;14.76
1256.16;-0.72;1274.88;1.8
1274.88;1.8;1299.96;3.36
1299.96;3.36;1323.12;2.76
1323.12;2.76;1339.08;3.36
1339.08;3.36;1352.4;1.8
1352.4;1.8;1370.76;6.84
1370.76;6.84;1385.04;13.8
1388.88;8.16;1421.88;23.76
1310.16;-14.4;1318.68;2.88
1194.6;1.2;1191.96;27.24
1191.96;27.24;1187.28;37.08
1185.72;21.12;1185.96;30.72
1185.96;30.72;1180.56;41.52
1180.56;41.52;1172.64;59.64
1172.64;59.64;1166.64;90.72
1140;109.44;1158.36;103.08
1185;129.48;1208.88;139.92
1208.88;139.92;1233.96;150.12
1233.96;150.12;1261.56;164.64
1198.32;174.24;1210.44;178.68
1210.44;178.68;1228.56;190.68
1228.56;190.68;1251.12;200.88
1195.8;303.72;1219.68;304.08
1227.48;334.44;1270.68;319.8
1270.68;319.8;1284.96;314.4
1253.28;325.68;1273.2;329.64
1273.2;329.64;1307.52;338.88
1307.52;338.88;1326.24;342.36
1326.24;342.36;1330.68;342.72
1330.68;342.72;1337.64;345.6
1232.28;332.76;1252.56;335.04
1252.56;335.04;1269;337.56
1269;337.56;1284.24;342.96
1238.64;349.08;1253.28;352.92
1110.12;36.36;1117.68;42.48
1117.68;42.48;1125.96;44.4
1125.96;44.4;1134.6;44.64
1413.24;72.24;1408.8;96.96
1408.8;96.96;1401.24;123.96
1401.24;123.96;1396.44;148.8
1396.44;148.8;1395.48;163.68
1395.48;163.68;1386.6;193.8
1386.6;193.8;1379.64;211.32
1396.44;148.8;1388.88;158.88
1388.88;158.88;1383.12;175.08
1384.44;179.52;1377.12;197.04
1420.56;177;1420.92;206.28
1420.92;206.28;1417.44;224.64
1417.44;224.64;1405.32;253.8
1346.28;279.84;1341.84;297
1341.84;297;1336.44;307.8
1346.28;279.84;1340.16;286.2
1340.16;286.2;1335.72;295.08
1335.72;295.08;1333.56;301.68
1333.56;301.68;1331.28;307.08
1331.28;307.08;1327.2;317.52
1327.2;317.52;1324.08;323.88
1313.28;321.12;1321.2;311.28
1321.2;311.28;1324.08;304.56
1324.08;304.56;1325.88;303
1325.88;303;1333.56;301.68
1361.88;290.64;1358.64;300.84
1300.56;362.4;1341.84;348.12
1341.84;348.12;1379.64;333.6
1379.64;333.6;1407.6;327.24
1407.6;327.24;1442.76;315.48
1442.76;315.48;1481.88;297.36
1481.88;297.36;1496.76;291
1496.76;291;1514.64;277.08
1514.64;277.08;1534.32;273.6
1534.32;273.6;1546.92;263.4
1546.92;263.4;1579.92;252.6
1573.92;219.24;1555.2;252
1555.2;252;1552.08;261.72
1356.72;353.28;1380.24;339.24
1457.76;216.72;1448.88;244.68
1420.32;2.76;1417.2;21.48
1417.2;21.48;1412.64;44.04
1423.08;49.44;1421.52;61.44
1425.72;36.72;1433.28;18.24
1433.28;18.24;1441.92;-12.84
1062;515.76;1092.24;534.12
