x1;y1;x2;y2
2;3;3;195
2;1378;3;1567
1361;2397;1527;2397
2080;2397;2233;2398
247;1345;396;1368
565;2224;656;2306
1464;1785;1542;1864
1385;1384;1445;1461
1529;1555;1621;1583
1996;1761;2081;1793
2074;291;2159;262
1470;1323;1559;1334
1667;1325;1740;1369
1956;1191;2022;1235
434;655;513;648
286;283;338.5;339
2;560.5;3.5;635
266.5;1829;311;1888.5
1489;2228;1553;2265
1566;992;1630;955
1371.5;2303.5;1405.5;2368
954;1833;942.5;1904
298;2291;268.5;2356
1143;2053;1198.5;2097
545;1718;534;1787
344.5;495.5;326;562.5
615;1585;680;1563
1786;907;1792;975
1730;1618;1794;1637
181;680;225;730
215;1741;250.5;1797
993;1862.5;1027;1919
6.5;1575.5;67;1601
533.5;1602.5;596;1584
1391.5;1291.5;1453.5;1311.5
1874;2084;1906;2139.5
356;2342;327;2399
690;316;746;346
1412.5;388;1456.5;342.5
2166.5;943.5;2225.5;960.5
2107.5;416.5;2134.5;471.5
493;1033.5;543.5;1068
741;1702.5;800;1717
225.5;338;259.5;388
573.5;1999.5;628.5;2023.5
2148;485;2184;533
1950;1187;1999.5;1220.5
1312;1622;1350;1668
1623;958;1681;946
2295;212.5;2325.5;162.5
1017.5;2309;988;2359.5
432;981;478;1017
1807;63;1784;116
1828;30;1798;79
2065;621.5;2100.5;666
207;1845.5;262.5;1833
1024;1850;1040;1904.5
1993.5;1267.5;2045.5;1290
1698;922;1753;909
621.5;273.5;667;307
1033;2397;1088;2398
721;2138;711;2192
2100;3;2063.5;44
577.5;1892;554;1941.5
1454;1924;1417;1963
499.5;1057;540.5;1091.5
1541.5;817;1584;849.5
875.5;2006.5;851;2054
2057.5;912.5;2108;928
446;1178;471.5;1224
180;66.5;219.5;100.5
2247;1013;2239;1064.5
1758;163;1809;153
1446.5;329.5;1489.5;300.5
376;676;424.5;658
107;34.5;157;45.5
2040;45;2007;84
1342;1659;1377;1696
2106.5;1811;2146;1843
2001.5;577.5;2041.5;608
934;2001;919;2049
1839;375;1844;425
1703;483;1706;533
330;180.5;360;220.5
1886;681;1869;728
1108.5;1603;1078;1642.5
70;1502;95;1545
977.5;1017.5;948;1057.5
1517.5;9;1542;51.5
753;1100;799;1083
2016;2213;2064;2223
794;129.5;821.5;170
1969.5;1292.5;1994.5;1334.5
1532.5;1942;1577;1961.5
2321;1927;2356.5;1960
186.5;686;216.5;724
593.5;2007;639;2023.5
1521;702.5;1513.5;750
1164;1560.5;1142.5;1603.5
1310;683;1352;660
1844.5;268;1858.5;313.5
1607;2204;1589;2248
213;1843;260;1836
1488;2089.5;1532.5;2073
903.5;2111;880;2152
1907;1717.5;1949;1739
84;1388;80;1435
1192;214;1236;197
2008;2398;2055;2397
1501;1031;1534;998
333.5;196.5;362.5;233
1350;1296;1357;1342
685;1718;660.5;1757.5
1719.5;2141.5;1754.5;2172
1516;320;1562;315
699.5;2040.5;745;2046
2155;121;2137;163
754;2203;792;2228
1315.5;682;1354;658
392;2289;362;2323
1436;2248;1473;2222
2017.5;1532.5;2054;1559
2;790;3;835
1904;2111;1931.5;2146.5
1009;1655;1049;1635
1104;1613;1074;1646
1811;1324;1796.5;1366
1091.5;2154;1074.5;2195
2280;34;2321;17
1236;2348;1275;2369
2186;562;2205;602
3;980;2;1024
1129;1752;1171;1765
656;600;696;582
1770;377;1802;347
491;2125.5;516;2161.5
2182.5;1320;2220;1297.5
302;1596.5;345.5;1600.5
588;125.5;631.5;126.5
1495;776;1478;816
1347.5;561.5;1364;601.5
2251.5;993;2243.5;1035.5
607;1761;598;1803
2022.5;83;2043;45.5
2021;83;2006;123
1091.5;2134.5;1072;2172.5
