x1;y1;x2;y2
2080;2355;2076;2399
719;2391;741;2399
390;2392;418;2399
606;2371;624;2397
432;2387;435;2397
1382;2382;1388;2393
1229;2392;1242;2393
1072;2381;1077;2393
1242;2393;1248;2392
1216;2392;1229;2392
1199;2397;1216;2392
359;2389;390;2392
686;2381;719;2391
158;2335;216;2391
1694;2385;1716;2390
1396;2390;1409;2390
1385;2389;1396;2390
329;2387;359;2389
222;2379;224;2389
2212;2395;2220;2388
1297;2369;1337;2388
2202;2371;2208;2387
2192;2361;2193;2387
1403;2370;1397;2386
1371;2376;1373;2386
1085;2391;1104;2386
768;2395;772;2386
736;2375;749;2386
2137;2364;2188;2385
1281;2384;1296;2384
1268;2384;1281;2384
1259;2383;1268;2384
1029;2399;1040;2384
1522;2384;1533;2383
1477;2381;1497;2383
1428;2379;1461;2383
1296;2384;1326;2383
1243;2376;1259;2383
1497;2383;1513;2382
1377;2372;1382;2382
736;2375;726;2382
25;2362;22;2382
1461;2383;1477;2381
1063;2367;1072;2381
614;2357;686;2381
1348;2379;1340;2380
719;2391;742;2380
1425;2396;1409;2379
1360;2378;1348;2379
1324;2367;1317;2379
1371;2376;1360;2378
1513;2382;1524;2376
1374;2362;1371;2376
1216;2369;1243;2376
726;2368;736;2375
739;2363;736;2375
1104;2386;1113;2374
25;2367;36;2373
1374;2362;1377;2372
204;2379;211;2372
2207;2358;2227;2371
1524;2376;1531;2371
584;2351;606;2371
135;2361;147;2371
2097;2360;2126;2370
2108;2344;2126;2370
211;2372;215;2370
1254;2345;1297;2369
1204;2360;1216;2369
1839;2376;1866;2368
1850;2353;1866;2368
711;2364;726;2368
1852;2397;1880;2367
1531;2371;1548;2367
1475;2372;1486;2367
1409;2379;1401;2367
1333;2348;1324;2367
1152;2367;1162;2367
1148;2363;1158;2367
1138;2366;1152;2367
2242;2392;2242;2366
1866;2368;1893;2366
1124;2364;1138;2366
519;2367;537;2366
1940;2355;1955;2365
1486;2367;1499;2365
1113;2374;1124;2364
1142;2361;1148;2363
744;2339;739;2363
1367;2353;1374;2362
1162;2367;1176;2362
1134;2365;1146;2362
484;2348;507;2362
34;2331;25;2362
1133;2359;1142;2361
129;2350;135;2361
2054;2347;2097;2360
1191;2359;1204;2360
1124;2364;1131;2360
1176;2362;1191;2359
1548;2367;1562;2357
584;2351;614;2357
1437;2369;1468;2356
773;2369;777;2356
2169;2291;2241;2355
2078;2341;2080;2355
1184;2361;1167;2354
2097;2360;2114;2353
1362;2340;1367;2353
2268;2350;2285;2352
1376;2340;1393;2351
1199;2335;1195;2351
561;2344;584;2351
572;2340;584;2351
2253;2352;2268;2350
1172;2343;1172;2350
1167;2354;1157;2348
687;2337;703;2348
1468;2356;1487;2346
